"class","attribute","status","read_count"
"cell","is_sequential","ok","8"
"cell","ref_name","ok","8"
"clock","sources","ok","2"
"object","direction","ok","9"
"object","is_clock_pin","ok","9"
"object","object_class","ok","9"
"timing_path","arrival","ok","1"
"timing_path","capture_clock_paths","ok","1"
"timing_path","check_type","unavailable","1"
"timing_path","clock_uncertainty","ok","1"
"timing_path","common_path_pessimism","ok","1"
"timing_path","endpoint","ok","1"
"timing_path","endpoint_clock","ok","2"
"timing_path","endpoint_clock_close_edge_type","ok","1"
"timing_path","endpoint_clock_close_edge_value","ok","1"
"timing_path","endpoint_clock_is_propagated","ok","1"
"timing_path","endpoint_clock_latency","ok","1"
"timing_path","endpoint_clock_open_edge_type","ok","1"
"timing_path","endpoint_clock_open_edge_value","ok","1"
"timing_path","endpoint_clock_pin","ok","1"
"timing_path","endpoint_hold_time_value","unavailable","1"
"timing_path","endpoint_is_level_sensitive","ok","1"
"timing_path","endpoint_output_delay_value","unavailable","1"
"timing_path","endpoint_recovery_time_value","unavailable","1"
"timing_path","endpoint_removal_time_value","unavailable","1"
"timing_path","endpoint_setup_time_value","ok","1"
"timing_path","launch_clock_paths","ok","1"
"timing_path","path_group","ok","1"
"timing_path","path_type","ok","1"
"timing_path","points","ok","3"
"timing_path","required","ok","1"
"timing_path","slack","ok","1"
"timing_path","startpoint","ok","1"
"timing_path","startpoint_clock","ok","2"
"timing_path","startpoint_clock_is_propagated","ok","1"
"timing_path","startpoint_clock_latency","ok","1"
"timing_path","startpoint_clock_open_edge_type","ok","1"
"timing_path","startpoint_clock_open_edge_value","ok","1"
"timing_path","startpoint_input_delay_value","unavailable","1"
"timing_path","startpoint_is_level_sensitive","ok","1"
"timing_path","time_borrowed_from_endpoint","unavailable","1"
"timing_path","time_lent_to_startpoint","unavailable","1"
"timing_point","annotated_delay_delta","ok","7"
"timing_point","annotated_delay_delta","unavailable","6"
"timing_point","arrival","ok","13"
"timing_point","capacitance","unavailable","13"
"timing_point","derate","unavailable","13"
"timing_point","fanout","unavailable","13"
"timing_point","object","ok","13"
"timing_point","rise_fall","ok","13"
"timing_point","transition","ok","13"
