"path_id","segment","chain_index","index","object_name","cell_name","cell_ref","cell_is_sequential","object_class","direction","is_clock_pin","arrival_native_ns","transition","slew_ns","capacitance_pf","fanout","derate_native","si_delta_native_ns","point_arrival_delta_ns","net_names_json"
"P0000001","data","0","1","top/u_launch/CK","top/u_launch","DFF_X1","1","pin","in","1","0.0","rise","0.04","","","","0.04","","[]"
"P0000001","data","0","2","top/u_launch/Q","top/u_launch","DFF_X1","1","pin","out","0","0.095","rise","0.04","","","","","0.095","[]"
"P0000001","data","0","3","top/u_logic/A","top/u_logic","BUF_X2","0","pin","in","0","0.3","rise","0.04","","","","0.03","0.205","[]"
"P0000001","data","0","4","top/u_logic/Z","top/u_logic","BUF_X2","0","pin","out","0","0.75","rise","0.04","","","","","0.45","[]"
"P0000001","data","0","5","top/u_capture/D","top/u_capture","DFF_X1","1","pin","in","0","2.267","rise","0.04","","","","0.06","1.517","[]"
"P0000001","launch","1","1","CLK","","","","port","in","0","10.0","rise","0.04","","","","","","[]"
"P0000001","launch","1","2","top/u_clkbuf/A","top/u_clkbuf","BUF_X4","0","pin","in","0","10.12","rise","0.04","","","","0.02","0.11999999999999922","[]"
"P0000001","launch","1","3","top/u_clkbuf/Z","top/u_clkbuf","BUF_X4","0","pin","out","0","10.2","rise","0.04","","","","","0.08000000000000007","[]"
"P0000001","launch","1","4","top/u_launch/CK","top/u_launch","DFF_X1","1","pin","in","1","10.3","rise","0.04","","","","0.04","0.10000000000000142","[]"
"P0000001","capture","1","1","CLK","","","","port","in","0","20.0","rise","0.04","","","","","","[]"
"P0000001","capture","1","2","top/u_clkbuf/A","top/u_clkbuf","BUF_X4","0","pin","in","0","20.1","rise","0.04","","","","0.01","0.10000000000000142","[]"
"P0000001","capture","1","3","top/u_clkbuf/Z","top/u_clkbuf","BUF_X4","0","pin","out","0","20.21","rise","0.04","","","","","0.10999999999999943","[]"
"P0000001","capture","1","4","top/u_capture/CK","top/u_capture","DFF_X1","1","pin","in","1","20.33","rise","0.04","","","","0.01","0.11999999999999744","[]"
